img_name,dr7objid,ra,dec,bar,bulge,dust,edge,elliptical,lens,merging,spiral,tidal
70.png,587735662624309357,153.47014,38.654476,-1,-1,-1,-1,1,-1,-1,-1,-1
71.png,588017992302526501,209.45596,9.873378,1,-1,-1,-1,-1,-1,-1,1,1
72.png,587731889504976954,182.43854,56.523586,-1,-1,-1,-1,-1,-1,-1,1,-1
73.png,587735428542890034,195.12682,48.308453,-1,-1,-1,1,-1,-1,-1,-1,-1
74.png,587725552810459178,128.4222,54.54932,-1,-1,-1,-1,1,-1,-1,-1,-1
75.png,587739381523021863,214.57028,31.653835,-1,-1,-1,1,-1,-1,-1,-1,-1
76.png,587728308029882555,171.5042,1.9841367,-1,-1,-1,-1,-1,-1,-1,1,-1
77.png,587727867252703391,114.07003,33.12271,-1,1,-1,1,-1,-1,-1,-1,-1
78.png,588011124116029524,196.90402,62.21589,-1,-1,-1,-1,-1,-1,-1,1,1
79.png,587739303687094284,203.99321,33.47391,-1,-1,-1,-1,1,-1,-1,-1,-1
80.png,587731522815000736,129.36082,40.035595,-1,-1,-1,-1,1,-1,-1,-1,1
81.png,587725552817602637,153.7518,65.13992,1,-1,-1,-1,-1,-1,-1,1,-1
82.png,587739131891613785,237.49968,24.80161,-1,-1,-1,-1,1,-1,1,-1,-1
83.png,587731681196965893,144.8947,48.421944,-1,-1,-1,1,-1,-1,-1,-1,1
84.png,588017703471939787,190.7407,12.286952,-1,-1,-1,-1,1,-1,1,-1,-1
85.png,587724649793716397,179.6401,-2.1356676,1,1,-1,-1,1,-1,-1,-1,-1
86.png,588015509812674591,14.703588,0.5872521,-1,-1,-1,-1,-1,-1,-1,1,-1
87.png,587741391571189885,140.89804,24.761705,-1,-1,-1,-1,-1,-1,-1,1,1
88.png,587728949587869796,157.89653,0.47536156,-1,-1,-1,-1,-1,-1,-1,1,-1
89.png,588017979978022953,217.50706,36.358223,-1,-1,-1,-1,1,-1,1,-1,-1
90.png,587735429084348469,210.4903,46.3119,-1,-1,-1,1,-1,-1,-1,-1,-1
91.png,587729408610336910,239.76234,51.304695,-1,-1,1,1,-1,-1,-1,-1,1
92.png,587731681194868806,139.21275,45.7007,-1,-1,-1,-1,1,-1,1,-1,1
93.png,587741603109666819,194.8328,28.084295,-1,-1,-1,-1,1,-1,-1,-1,-1
94.png,587739098598867000,181.31136,38.235603,-1,-1,-1,-1,-1,-1,-1,1,-1
95.png,588015508209991726,32.784576,-0.6547795,-1,-1,-1,1,1,-1,1,-1,-1
96.png,588011219145523306,240.1785,48.55794,-1,-1,-1,-1,1,-1,-1,-1,1
97.png,587738947207233550,147.16023,33.424755,-1,-1,-1,1,-1,-1,-1,1,-1
98.png,587738570314481837,185.83344,15.820357,-1,-1,-1,-1,1,-1,-1,-1,-1
